SCAC,Company name,Country,Category
SAKL,10016853 CANADA INCORPORATED,CANADA,Other Players
TWTK,11470906 CANADA INCORPORATED,CANADA,Other Players
ONFW,1ST CALL LEASING OF TEXAS LIMITED LIABILITY COMPANY,USA,Other Players
INVI,2826679 ONTARIO INCORPORATED.,CANADA,Other Players
THWS,314 TRUCKING CORPORATION,,Other Players
OCNL,8ON-CALL NATIONAL LIMITED LIABILITY COMPANY,USA,Other Players
NING,93484723 QUEBEC INCORPORATED,CANADA,Other Players
AFLH,A1 FREIGHT LIMITED LIABILITY COMPANY,USA,Other Players
AESO,AAA EXPEDITED SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
AFRJ,AA FREIGHT INCORPORATED,USA,Other Players
AWQG,AAGAAZ WORLDTRADE PVT LIMITED,India,Indian Exporter
AAPW,AAPO LOGISTICS INCORPORATED,USA,Other Players
AWEB,AARDOUR WORLDWIDE LOGISTICS PVT LIMITED,India,Mid-sized Indian Freight Forwarders
AAFP,AAR TRUCKLINES INCORPORATED,USA,Other Players
ASAK,AAS TRANSPORT INCORPORATED,USA,Other Players
AAVC,AAT TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
AAWP,AAW GLOBAL LOGISTICS PTY LIMITED,,Mid-sized International Freight Forwarders
AMRV,ABATEMENT TECHNOLOGIES LIMITED,,Other Players
ABGQ,A & B CARGO SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
ALGM,ABC LOGISTICS COMPANY,,Other Players
ABGF,ABC MARITIME AG,,Other Players
ABCS,ABCO LOGISTICS,,Other Players
ACJJ,ABC TRANSFER LIMITED LIABILITY COMPANY,USA,Other Players
AWNJ,ABC WORLDWIDE LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
AZBF,ABEL TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
AFLF,ABEONA FREIGHT LIMITED LIABILITY COMPANY,USA,Other Players
ADIO,ABERDEEN INTERTRADE COMPANY,,US Importer
AGSV,AB GROUP SHIPPING CORPORATION,,NVOCCs
ABFA,ABILITY FORWARDERS INCORPORATED,USA,Mid-sized International Freight Forwarders
ALDD,ABILITY LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
AZHV,ABLE FAST LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
AKQB,AB LOGISTICS HOLDING LIMITED LIABILITY COMPANY,USA,Other Players
AXBV,ABLS INCORPORATED,USA,Other Players
ABAK,AB MARITIME INCORPORATED,USA,Other Players
ABML,ABMB,,Other Players
